State,name,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,severerisk
Delhi,Delhi,28-10-2023,87.7,66.1,77.2,50.5,42.6,0,0,8.1,4.7,255.9,1014.3,59.1,3.3,160.9,6,10
Delhi,Delhi,29-10-2023,91.7,76.4,83.4,42.3,23.9,0,0,9.4,5.8,117.3,1012.6,28.5,15,185,7,10
Delhi,Delhi,30-10-2023,92.2,76,83.7,47.6,29.2,0,0,11,6,107.8,1012.6,4.6,15,186.9,7,10
Delhi,Delhi,31-10-2023,92.6,77.1,84.2,49.8,31.1,0,0,12.8,6.9,109.5,1013.8,36.2,15,181.8,7,10
Delhi,Delhi,01-11-2023,92.2,77.1,84.3,50.2,31.8,0,0,10.1,6.5,118,1013.8,0.7,15,182,7,10
Delhi,Delhi,02-11-2023,92.7,77.8,84.7,47.6,28.9,0,0,9.4,6.7,106.7,1012.1,0.7,15,208.3,6,10
Delhi,Delhi,03-11-2023,92.9,77.6,84.3,41.3,22.5,0,0,12.5,6.9,335.7,1009.2,0.8,15,181.9,6,10
Delhi,Delhi,04-11-2023,93.3,77.6,84.5,40,21.4,0,9.5,8.9,4,48.2,1009.4,38.8,15,177.4,6,10
Delhi,Delhi,05-11-2023,92.9,77.6,85,41.9,22.5,0,28.6,10.4,5.6,117.9,1009.7,39.7,15,177.5,6,10
Delhi,Delhi,06-11-2023,92.9,77.3,84.5,43.7,24.8,0,4.8,10.7,6,108.8,1011.2,1.4,15,176.8,6,10
Delhi,Delhi,07-11-2023,92,76.9,84.1,43.2,24.7,0,9.5,7.2,5.4,75.4,1011.7,29.9,15,169,6,10
Delhi,Delhi,08-11-2023,92.2,75.8,83.6,41.3,23.2,0,4.8,9.2,5.6,350.4,1012.8,2.3,15,173.1,6,10
Delhi,Delhi,09-11-2023,91.8,76.6,83.7,40.9,22.5,0,4.8,9.4,4.9,327.4,1014,3.3,15,171.5,6,10
Delhi,Delhi,10-11-2023,93.1,77.1,84.3,41.4,22.5,0,19,8.4,5.4,74.1,1013.5,13.3,15,170,6,10
Delhi,Delhi,11-11-2023,92.2,77.4,83.9,42.8,23.9,0,19,20.3,8.1,326.6,1011.3,8.8,15,168.3,6,10
